#MIN=0	0	0	0	0
#MAX=50	30	100	10	70
#SCALE=50	10	50	5	10
#DEC=1	2	1	2	2
#DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Anode" U_A / V	"Acceleration voltage" U_B / V
4.699	-0.015	9	-0.015	9
4.799	-0.03	9.5	-0.03	9.5
4.899	-0.015	9.5	-0.015	9.5
4.999	-0.03	10	-0.03	10
5.099	-0.015	10	-0.015	10
5.199	-0.015	10	-0.015	10
5.299	0	10.5	0	10.5
5.399	0	10.5	0	10.5
5.5	0	11	0	11
5.599	0	11	0	11
5.699	0.015	11.5	0.015	11.5
5.799	0.015	11.5	0.015	11.5
5.899	0.015	12	0.015	12
5.999	0.015	12	0.015	12
6.099	0.03	12	0.03	12
6.199	0.03	12.5	0.03	12.5
6.299	0.03	12.5	0.03	12.5
6.399	0.03	13	0.03	13
6.499	0.03	13	0.03	13
6.599	0.03	13.5	0.03	13.5
6.699	0.015	13.5	0.015	13.5
6.799	0.015	13.5	0.015	13.5
6.899	0.015	14	0.015	14
7	0.015	14	0.015	14
7.099	0.015	14.5	0.015	14.5
7.199	0.015	14.5	0.015	14.5
7.3	0.015	15	0.015	15
7.399	0.03	15	0.03	15
7.499	0.045	15	0.045	15
7.6	0.09	15.5	0.09	15.5
7.699	0.135	15.5	0.135	15.5
7.8	0.195	16	0.195	16
7.9	0.225	16	0.225	16
8	0.27	16.5	0.27	16.5
8.1	0.27	16.5	0.27	16.5
8.2	0.285	17	0.285	17
8.3	0.27	16.5	0.27	16.5
8.4	0.27	17	0.27	17
8.5	0.24	17	0.24	17
8.6	0.225	17.5	0.225	17.5
8.7	0.195	18	0.195	18
8.8	0.18	18	0.18	18
8.9	0.135	18.5	0.135	18.5
9	0.135	18.5	0.135	18.5
9.1	0.09	18.5	0.09	18.5
9.2	0.09	19	0.09	19
9.3	0.075	19	0.075	19
9.4	0.075	19.5	0.075	19.5
9.5	0.075	19.5	0.075	19.5
9.6	0.105	20	0.105	20
9.7	0.15	20	0.15	20
9.8	0.24	20	0.24	20
9.9	0.33	20.5	0.33	20.5
10	0.465	20.5	0.465	20.5
10.1	0.57	21	0.57	21
10.2	0.645	21	0.645	21
10.3	0.69	21.5	0.69	21.5
10.4	0.69	21.5	0.69	21.5
10.5	0.675	22	0.675	22
10.6	0.63	22	0.63	22
10.7	0.555	22	0.555	22
10.8	0.495	22.5	0.495	22.5
10.9	0.435	22.5	0.435	22.5
11	0.375	23	0.375	23
11.1	0.315	23	0.315	23
11.2	0.27	23	0.27	23
11.3	0.21	23.5	0.21	23.5
11.4	0.18	23.5	0.18	23.5
11.5	0.135	24	0.135	24
11.6	0.135	24	0.135	24
11.7	0.135	24.5	0.135	24.5
11.8	0.165	24.5	0.165	24.5
11.9	0.255	24.5	0.255	24.5
12	0.345	25	0.345	25
12.1	0.51	25	0.51	25
12.2	0.66	25.5	0.66	25.5
12.3	0.87	25.5	0.87	25.5
12.4	1.065	26	1.065	26
12.5	1.185	26	1.185	26
12.6	1.245	26	1.245	26
12.7	1.245	26.5	1.245	26.5
12.8	1.2	27	1.2	27
12.9	1.11	27	1.11	27
13	0.99	27	0.99	27
13.1	0.885	27	0.885	27
13.2	0.735	27.5	0.735	27.5
13.3	0.63	28	0.63	28
13.4	0.51	28	0.51	28
13.5	0.42	28	0.42	28
13.6	0.33	28.5	0.33	28.5
13.699	0.27	28.5	0.27	28.5
13.8	0.225	29	0.225	29
13.9	0.225	29	0.225	29
14	0.24	29.5	0.24	29.5
14.1	0.315	29.5	0.315	29.5
14.2	0.42	30	0.42	30
14.3	0.6	30	0.6	30
14.4	0.825	30	0.825	30
14.499	1.11	30.5	1.11	30.5
14.6	1.395	30.5	1.395	30.5
14.7	1.65	31	1.65	31
14.799	1.875	31	1.875	31
14.899	1.995	31.5	1.995	31.5
14.999	2.01	31.5	2.01	31.5
15.099	1.965	31.5	1.965	31.5
15.199	1.845	32	1.845	32
15.299	1.665	32	1.665	32
15.399	1.47	32.5	1.47	32.5
15.499	1.275	32.5	1.275	32.5
15.599	1.065	32.5	1.065	32.5
15.699	0.9	33	0.9	33
15.799	0.72	33.5	0.72	33.5
15.899	0.585	33.5	0.585	33.5
15.999	0.495	33.5	0.495	33.5
16.099	0.42	34	0.42	34
16.199	0.39	34	0.39	34
16.299	0.42	34.5	0.42	34.5
16.4	0.51	34.5	0.51	34.5
16.499	0.66	34.5	0.66	34.5
16.599	0.93	35	0.93	35
16.699	1.26	35	1.26	35
16.799	1.65	35.5	1.65	35.5
16.899	2.085	35.5	2.085	35.5
16.999	2.445	36	2.445	36
17.099	2.805	36	2.805	36
17.199	3.03	36	3.03	36
17.299	3.12	36.5	3.12	36.5
17.399	3.105	36.5	3.105	36.5
17.499	2.97	37	2.97	37
17.599	2.775	37	2.775	37
17.699	2.475	37.5	2.475	37.5
17.799	2.205	37.5	2.205	37.5
17.899	1.89	38	1.89	38
17.999	1.635	38	1.635	38
18.099	1.395	38	1.395	38
18.199	1.17	38.5	1.17	38.5
18.299	0.99	38.5	0.99	38.5
18.399	0.87	39	0.87	39
18.499	0.81	39	0.81	39
18.599	0.825	39	0.825	39
18.699	0.945	39.5	0.945	39.5
18.799	1.155	40	1.155	40
18.899	1.47	40	1.47	40
18.999	1.98	40	1.98	40
19.099	2.505	40	2.505	40
19.199	3.105	40.5	3.105	40.5
19.299	3.765	41	3.765	41
19.399	4.305	41	4.305	41
19.499	4.8	41	4.8	41
19.599	5.07	41.5	5.07	41.5
19.699	5.19	41.5	5.19	41.5
19.799	5.145	42	5.145	42
19.899	4.965	42	4.965	42
19.999	4.695	42	4.695	42
20.099	4.275	42.5	4.275	42.5
20.199	3.9	42.5	3.9	42.5
20.299	3.465	43	3.465	43
20.399	3.09	43	3.09	43
20.499	2.745	43.5	2.745	43.5
20.599	2.4	43.5	2.4	43.5
20.699	2.16	44	2.16	44
20.799	1.98	44	1.98	44
20.899	1.95	44	1.95	44
20.999	2.025	44.5	2.025	44.5
21.099	2.325	44.5	2.325	44.5
21.199	2.49	45	2.49	45
21.299	2.49	45	2.49	45
21.399	2.49	44.5	2.49	44.5
21.499	2.505	45	2.505	45
21.599	2.49	44.5	2.49	44.5
21.699	2.505	45	2.505	45
21.799	2.505	45	2.505	45
21.899	2.505	45	2.505	45
21.999	2.505	45	2.505	45
22.099	2.52	45	2.52	45
22.199	2.505	45	2.505	45
22.299	2.505	45	2.505	45
22.399	2.505	45	2.505	45
22.499	2.505	45	2.505	45
22.599	2.505	45	2.505	45
22.699	2.52	45	2.52	45
22.799	2.52	45	2.52	45
22.899	2.52	45	2.52	45
22.999	2.505	44.5	2.505	44.5
23.099	2.535	45	2.535	45
23.199	2.505	45	2.505	45
